model,regularization,lambda,error,rmse,activation_fn
"[11, 128, 64, 32, 1]",L1,0.001,0.021664803431787425,0.23270768264553018,tanh,50,32
"[11, 128, 64, 32, 1]",L2,0.001,0.022004612529751652,0.25295776489017774,tanh,50,32
"[11, 128, 64, 32, 1]",L1,0.1,0.057236077664674485,0.22582700379984258,tanh,50,32
"[11, 128, 64, 32, 1]",L2,0.1,0.0365819645563591,0.1862113386920995,tanh,50,32
"[11, 64, 1]",None,0,0.08792481585872645,0.43709630919584674,relu,50,64
"[11, 128, 1]",None,0,0.08049131877856511,0.42811742991984186,relu,50,64
"[11, 64, 32, 1]",None,0,0.061151188948349686,0.41695867423589483,relu,50,64
"[11, 128, 32, 1]",None,0,0.05194291026111717,0.3858855318815867,relu,50,64
"[11, 128, 64, 1]",None,0,0.05062201213952244,0.3960074609052381,relu,50,64
"[11, 128, 64, 32, 1]",None,0,0.05225974991766397,0.40307278430992255,relu,50,64
"[11, 128, 64, 32, 1]",L1,0.001,0.09180690909666565,0.516494015976735,relu,50,64
"[11, 128, 64, 32, 1]",L2,0.001,0.06158540615000362,0.3897964002908013,relu,50,64
"[11, 128, 64, 32, 1]",L1,0.1,0.07768670290699499,0.3794025281094829,relu,50,64
"[11, 128, 64, 32, 1]",L2,0.1,0.0707171405336344,0.4093778617093089,relu,50,64
"[11, 64, 1]",None,0,0.0887460771904644,0.4942417267589403,tanh,50,64
"[11, 128, 1]",None,0,0.11008757490233717,0.5509030011331849,tanh,50,64
"[11, 64, 32, 1]",None,0,0.059793954649106536,0.4200620990133952,tanh,50,64
"[11, 128, 32, 1]",None,0,0.06805476527931452,0.35219945242064005,tanh,50,64
"[11, 128, 64, 1]",None,0,0.04164932455471623,0.4118050249139572,tanh,50,64
"[11, 128, 64, 32, 1]",None,0,0.04038685092692927,0.3079245977717548,tanh,50,64
"[11, 128, 64, 32, 1]",L1,0.001,0.04930500901013975,0.33314770053705384,tanh,50,64
"[11, 128, 64, 32, 1]",L2,0.001,0.04253015428316766,0.3026353789459951,tanh,50,64
"[11, 128, 64, 32, 1]",L1,0.1,0.07256224606873947,0.2900063687103932,tanh,50,64
"[11, 128, 64, 32, 1]",L2,0.1,0.052327478436583405,0.2733560859257415,tanh,50,64
"[11, 64, 1]",None,0,0.06358332581024198,0.3874923970446568,relu,100,64
"[11, 128, 1]",None,0,0.04778352085347925,0.34856637432453325,relu,100,64
"[11, 64, 32, 1]",None,0,0.04738274946010922,0.3524303728427667,relu,100,64
